original_text,tokenized_text,avg_politeness_score,politeness_std,all_politeness_scores,binary_politeness_score,doc_len
"Sorry, what? Could you be more specific please?","['sorry', ',', 'what', '?', 'could', 'you', 'be', 'more', 'specific', 'please', '?']",11.8,2.993325909419153,"[9, 13, 17, 11, 9]",0,11
"I think slicing means converting from derived class object to base class object. I think it is very common operation in C++, do you think slicing is a natural feature or a bad design?","['i', 'think', 'slicing', 'means', 'converting', 'from', 'derived', 'class', 'object', 'to', 'base', 'class', 'object', '.', 'i', 'think', 'it', 'is', 'very', 'common', 'operation', 'in', 'c++', ',', 'do', 'you', 'think', 'slicing', 'is', 'a', 'natural', 'feature', 'or', 'a', 'bad', 'design', '?']",16.6,0.8,"[17, 17, 17, 17, 15]",1,37
"It might help to know what language(s) you are using.  Also,it's a bit obvious but: you _have_ checked that the DLL in question is being built with debug information and that your deploy/publish process uses the debug version of that DLL?","['it', 'might', 'help', 'to', 'know', 'what', 'language', '(', 's', ')', 'you', 'are', 'using', '.', 'also', ',', 'it', ""'s"", 'a', 'bit', 'obvious', 'but', ':', 'you', '_have_', 'checked', 'that', 'the', 'dll', 'in', 'question', 'is', 'being', 'built', 'with', 'debug', 'information', 'and', 'that', 'your', 'deploy/publish', 'process', 'uses', 'the', 'debug', 'version', 'of', 'that', 'dll', '?']",16.0,4.8166378315169185,"[25, 15, 13, 16, 11]",0,50
"Why the removal of the citation dealing with coriolis?  Was the proof not within the citation, or was the citation not considered primary?","['why', 'the', 'removal', 'of', 'the', 'citation', 'dealing', 'with', 'coriolis', '?', 'was', 'the', 'proof', 'not', 'within', 'the', 'citation', ',', 'or', 'was', 'the', 'citation', 'not', 'considered', 'primary', '?']",13.8,2.993325909419153,"[13, 9, 17, 13, 17]",0,26
"How do you know its a proprietary format? There are several 'standard' file formats - perhaps you could provide a link to an exported (public or self-signed) certificate, then perhaps people would be able to see for themselves?","['how', 'do', 'you', 'know', 'its', 'a', 'proprietary', 'format', '?', 'there', 'are', 'several', ""'standard"", ""'"", 'file', 'formats', '-', 'perhaps', 'you', 'could', 'provide', 'a', 'link', 'to', 'an', 'exported', '(', 'public', 'or', 'self-signed', ')', 'certificate', ',', 'then', 'perhaps', 'people', 'would', 'be', 'able', 'to', 'see', 'for', 'themselves', '?']",16.6,3.6660605559646724,"[17, 13, 13, 17, 23]",0,44
@karianna - I'm using Subversion; hope discussing little tech/programming won't make this closed! :-) Please let me know whether I need to post a question in SO asking how to merge log comment to particular class? :-),"['@', 'karianna', '-', 'i', ""'m"", 'using', 'subversion', ';', 'hope', 'discussing', 'little', 'tech/programming', 'wo', ""n't"", 'make', 'this', 'closed', '!', ':', '-', ')', 'please', 'let', 'me', 'know', 'whether', 'i', 'need', 'to', 'post', 'a', 'question', 'in', 'so', 'asking', 'how', 'to', 'merge', 'log', 'comment', 'to', 'particular', 'class', '?', ':', '-', ')']",14.8,3.249615361854384,"[12, 15, 13, 13, 21]",0,47
"I've created another question to track the single-speed portion of the question. http://bicycles.stackexchange.com/questions/1983/ Here we can talk about ""why no freewheel?""","['i', ""'ve"", 'created', 'another', 'question', 'to', 'track', 'the', 'single-speed', 'portion', 'of', 'the', 'question', '.', 'http', ':', '//bicycles.stackexchange.com/questions/1983/', 'here', 'we', 'can', 'talk', 'about', '``', 'why', 'no', 'freewheel', '?', ""''""]",19.4,1.9595917942265426,"[17, 21, 17, 21, 21]",1,28
"Just to clarify for U.S. readers: is this an on-demand water heater that stays off until flow through the hot water pipe is detected, at which point it fires up and heats the water as it flows through?","['just', 'to', 'clarify', 'for', 'u.s.', 'readers', ':', 'is', 'this', 'an', 'on-demand', 'water', 'heater', 'that', 'stays', 'off', 'until', 'flow', 'through', 'the', 'hot', 'water', 'pipe', 'is', 'detected', ',', 'at', 'which', 'point', 'it', 'fires', 'up', 'and', 'heats', 'the', 'water', 'as', 'it', 'flows', 'through', '?']",14.2,5.3065996645686395,"[15, 5, 21, 17, 13]",0,41
"Oh, that's because I only copyedited a tiny section of the article. Should I still count that as a yes?","['oh', ',', 'that', ""'s"", 'because', 'i', 'only', 'copyedited', 'a', 'tiny', 'section', 'of', 'the', 'article', '.', 'should', 'i', 'still', 'count', 'that', 'as', 'a', 'yes', '?']",16.6,2.870540018881465,"[13, 14, 17, 21, 18]",1,24
This is just too confusing...how can a team be an affiliate of the NHL team but not the AHL team?  Especially in a AA hockey league?,"['this', 'is', 'just', 'too', 'confusing', '...', 'how', 'can', 'a', 'team', 'be', 'an', 'affiliate', 'of', 'the', 'nhl', 'team', 'but', 'not', 'the', 'ahl', 'team', '?', 'especially', 'in', 'a', 'aa', 'hockey', 'league', '?']",13.8,2.315167380558045,"[13, 14, 11, 13, 18]",0,30
"Reverted again, you need to create your own subpage at Template talk:Did you know/Article name. If you need some help, I could nominate it for you?","['reverted', 'again', ',', 'you', 'need', 'to', 'create', 'your', 'own', 'subpage', 'at', 'template', 'talk', ':', 'did', 'you', 'know/article', 'name', '.', 'if', 'you', 'need', 'some', 'help', ',', 'i', 'could', 'nominate', 'it', 'for', 'you', '?']",17.2,3.8157568056677826,"[21, 17, 22, 13, 13]",0,32
